COMID,AREA,Year,P10,P50,P90,MEAN,P10_Q,P50_Q,P90_Q,Estimated.Q,Month
7915025,9.5004,1966,0.123318905713827,0.448949129852744,0.938932173136992,0.534095996401493,1.17157893184364,4.26519631325301,8.92023121767068,5.07412560421275,4
7915025,9.5004,1966,0.0714991762767709,0.195480793777284,0.49057085012207,0.25413126831827,0.679270774299835,1.85714573320171,4.66061930449971,2.41434870153089,5
7915025,9.5004,1966,0.0723585305712132,0.183830448577957,0.902492277134448,0.406769731063459,0.687434983838754,1.74646279367002,8.5740376296881209,3.86447515299529,6
7915025,9.5004,1966,0.00784420289855077,0.0689551910420208,0.308273956419008,0.175221478796843,0,0.655101896975614,2.92872589556314,1.66467413716152,7
7915025,9.5004,1966,0.00378703703703703,0.0352785395821855,0.111744444444444,0.0468214851436842,0,0.335160237446595,1.06161692,0.444822837459057,8
7915025,9.5004,1966,0.0122244599412211,0.045157559988436,0.119259965653756,0.0586544903402893,0.116137259225577,0.429014882914137,1.13301737769695,0.557241120028884,9
7915025,9.5004,1966,0.0198058902275769,0.04695637459436,0.108086274509804,0.0655205189975881,0.188163879518072,0.446104341196258,1.02686284235294,0.622471138684686,10
7915025,9.5004,1966,0.0616179001721171,0.108725845410628,0.2192053286742,0.128052926517305,0.585394698795181,1.03293902173913,2.08253830453637,1.216554023085,11
7915025,9.5004,1966,0.0627104679499084,0.141699548843165,0.290080321285141,0.183490381711539,0.59577452971131,1.34620239382961,2.75587908433735,1.7432320224123,12
7915025,9.5004,1967,0.0664705482445888,0.157626637600561,0.530612615280674,0.23564483653799,0.631496796542892,1.49751610786037,5.04103209021251,2.23872020504552,1
7915025,9.5004,1967,0.104897415479773,0.220962220024505,0.493079641352476,0.271268930055653,0.996567406024032,2.09922947512081,4.68445382470506,2.57716334310072,2
7915025,9.5004,1967,0.173866477981899,0.320569987289546,0.42425777214571,0.318789437426469,1.65180108741924,3.0455431072456,4.03061853849311,3.02862717132642,3
7915025,9.5004,1967,0.267163543222475,0.778562496105652,1.42915662650602,0.801295685573486,2.5381605260308,7.39665513800214,13.5775596144578,7.61262953122235,4
7915025,9.5004,1967,0.339289123908002,1.13017110096634,1.94703647925033,1.091925449278,3.22338239277558,10.7370775276207,18.4976253674699,10.3737285383207,5
7915025,9.5004,1967,0.117600500557663,0.480547004205038,1.52383358483406,0.677150291077173,1.11725179549803,4.56538875874955,14.4770285893575,6.43319862534957,6
7915025,9.5004,1967,0.0217536813922357,0.104330791806829,0.401758018279456,0.211147887445555,0.206668674698796,0.991184254481598,3.81686187686214,2.00598938988775,7
7915025,9.5004,1967,0.0124497991967871,0.0409937751819689,0.119255407567478,0.0552622173188828,0.118278072289156,0.389457261738777,1.13297407405407,0.525013169416315,8
7915025,9.5004,1967,0.0140664556962026,0.0407685437161562,0.128358585615491,0.0607814796671789,0.133636955696203,0.387317472720971,1.21945790678141,0.577448369430066,9
7915025,9.5004,1967,0.0262101740294512,0.0547781569965871,0.10827844034639,0.070504835467734,0.249007137349398,0.520414402730376,1.02868849466685,0.66982413887766,10
7915025,9.5004,1967,0.0365461847389559,0.0556230124313386,0.135012755768393,0.0765980578611793,0.347203373493976,0.528440867302689,1.28267518490204,0.727712188904348,11
7915025,9.5004,1967,0.0210036011811876,0.0523573308909939,0.130726959247649,0.0650071054024376,0.199542612661754,0.497415586396799,1.24195840363637,0.617593504165318,12
7915025,9.5004,1968,0.0279451137884874,0.0826443095306928,0.175327354184092,0.0968563916692711,0.265489759036146,0.785153998265394,1.66567999569055,0.920174463414743,1
7915025,9.5004,1968,0.0372306424845751,0.115376073016858,0.335382864792504,0.164531201811548,0.353705995860457,1.09611884408936,3.1862713686747,1.56311222969043,2
7915025,9.5004,1968,0.0884504858841753,0.166530014352487,0.267871485943775,0.185119095058101,0.840314996094019,1.58210174835437,2.54488626506024,1.75870545068998,3
7915025,9.5004,1968,0.100841570565623,0.358493049968013,0.850784917447568,0.42413757828218,0.958035257001647,3.40582737191611,8.08279702971888,4.02947664871203,4
7915025,9.5004,1968,0.0714991762767709,0.178781793842035,0.577696425440585,0.267234137345096,0.679270774299835,1.69849855421687,5.48834712025574,2.53883119843335,5
7915025,9.5004,1968,0.0459155633183281,0.141079409608979,0.851020009018127,0.386111778079892,0.436216217749444,1.34031082304915,8.08503049367581,3.66821633647021,6
7915025,9.5004,1968,0.00555183946488292,0.0557300029881143,0.295390356092516,0.167010493936689,0,0.529457320388281,2.80632653902134,1.58666649659612,7
7915025,9.5004,1968,0.0113076424327217,0.0392566246829193,0.113333333333333,0.0541965702398139,0.107427126167829,0.372953637137607,1.076712,0.514889095906328,8
7915025,9.5004,1968,0.0134538152610442,0.0432023231209677,0.135551083591331,0.0626794530486121,0.127816626506024,0.410439350578441,1.28778951455108,0.595479875743034,9
7915025,9.5004,1968,0.0238068942436413,0.0530349986565364,0.132269759871737,0.075033318037612,0.22617501807229,0.503853701236558,1.25661562668545,0.712846534684529,10
7915025,9.5004,1968,0.0531712287859776,0.0865062111801241,0.160009404388715,0.0991273272985427,0.505147941958302,0.821843608695651,1.52015334545455,0.941749260267075,11
7915025,9.5004,1968,0.0479487368343521,0.0795422576073808,0.178191667782002,0.10214742000226,0.455532179421079,0.75568326417316,1.69289212059613,0.970441348989475,12
7915025,9.5004,1969,0.0522175072535537,0.108688737910985,0.413207567110548,0.174321581985235,0.496087205911662,1.03258648564952,3.92563717057705,1.65612475749253,1
7915025,9.5004,1969,0.0381182213234949,0.0913845852717994,0.244694998554496,0.118429944284785,0.362138349861731,0.868190113916203,2.32470036426713,1.12513184268317,2
7915025,9.5004,1969,0.103807751507932,0.224824297188755,0.479273537306391,0.253295710547254,0.986215162425953,2.13592075301205,4.55329031382564,2.40641056848313,3
7915025,9.5004,1969,0.403894478498866,1.0298781793842,1.95278447121821,1.17723765056212,3.83715910353063,9.78425465542168,18.5522335903614,11.1842285754003,4
7915025,9.5004,1969,0.242972412767712,0.967124583909503,1.49086919191446,0.928896957191802,2.30833511025837,9.18807039697385,14.1638536708642,8.82489265210499,5
7915025,9.5004,1969,0.212894526835117,0.552375463829379,1.53693765026935,0.752978937196945,2.02258316274434,5.24778785656463,14.6015224526189,7.15360109494586,6
7915025,9.5004,1969,0.0330810386128024,0.128904929580543,0.42257232394112,0.212804518100399,0.314283099237068,1.22464839298699,4.01460610637021,2.02172804376103,7
7915025,9.5004,1969,0.0148148148148148,0.0495109651267768,0.152151898734177,0.070997021800066007,0.140746666666667,0.47037397309043,1.44550389873418,0.674500105909347,8
7915025,9.5004,1969,0.0207324233643435,0.0544176706827309,0.14,0.0716848007126648,0.196966314930609,0.516989638554217,1.330056,0.681034280690601,9
7915025,9.5004,1969,0.0362823344008948,0.0598774934952299,0.116245581559432,0.0772526754846148,0.344696689742261,0.568860139202082,1.10437952304723,0.733931318174034,10
7915025,9.5004,1969,0.0451933707153791,0.0702080583732418,0.153403141361256,0.086429446474105,0.429355099144387,0.667004637769147,1.45739120418848,0.821114313282587,11
7915025,9.5004,1969,0.0460918792364266,0.112272132487153,0.306626506024096,0.197951879279052,0.437891289497747,1.06663016748095,2.91307445783133,1.88062203390271,12
7915025,9.5004,1970,0.075201247941261,0.256179925253604,0.690062695924765,0.335229942864931,0.714441935941156,2.43381176187934,6.55587163636364,3.18481854919399,1
7915025,9.5004,1970,0.141398045167763,0.416504651514114,0.700016441856973,0.406721522116599,1.34333798831182,3.95696079124469,6.65043620421799,3.86401714871654,2
7915025,9.5004,1970,0.2053822764895,0.394913859558844,0.766105317468264,0.467404059310051,1.95121377956085,3.75183963135284,7.27830695807549,4.44052552506921,3
7915025,9.5004,1970,0.338888888888889,0.799933065595716,1.4384203480589,0.834619262653509,3.21958,7.59968409638554,13.6655686746988,7.9292168429134,4
7915025,9.5004,1970,0.258560215371876,0.804405353268711,1.32532255297675,0.787695446416118,2.45642547011897,7.64217261819406,12.5910943823003,7.48342181913169,5
7915025,9.5004,1970,0.139095700920998,0.431713418663015,1.57267498473484,0.66455998804429,1.32146479702985,4.10145016266611,14.9410414249749,6.31358571041597,6
7915025,9.5004,1970,0.016647000121699,0.078250290146509,0.372414821143397,0.190221754657302,0.158153159956189,0.743409056507894,3.53808976679073,1.80718275794624,7
7915025,9.5004,1970,0.00917976760082023,0.0433918606269551,0.113266666666667,0.0532983513362702,0,0.412240032700324,1.07607864,0.506355657035102,8
7915025,9.5004,1970,0.0147871116225547,0.0468343451864701,0.126223848391031,0.063170462832281,0.140483475258918,0.44494501300954,1.19917704925415,0.600144665091803,9
7915025,9.5004,1970,0.0333333333333333,0.0573866793439184,0.106167004130946,0.0722642785823269,0.31668,0.545196408438962,1.00862900604564,0.686539552243539,10
7915025,9.5004,1970,0.066867469879518,0.147128723699591,0.281927710843374,0.163851671462611,0.635267710843373,1.3977817266356,2.67842602409639,1.55665641956339,11
7915025,9.5004,1970,0.0613873455613242,0.159893935436435,0.288391031544992,0.176202190373083,0.583204337770805,1.51905634422031,2.73983015609005,1.67399128942044,12
7915025,9.5004,1971,0.0568838710835717,0.132281934716233,0.549972989674802,0.23223846631841,0.540419528842365,1.2567312925781,5.22496339110649,2.20635832541142,1
7915025,9.5004,1971,0.0897127523291799,0.223304241866529,0.432044602859171,0.251680620722388,0.852307032228141,2.12147961942877,4.10459654500327,2.39106656911097,2
7915025,9.5004,1971,0.134312211359163,0.33864366042688,0.578669597782982,0.351054595695955,1.27601973279659,3.21725023151953,5.49759264677744,3.33515908094985,3
7915025,9.5004,1971,0.28600527144566,1.13961958946899,1.57560441767068,1.04788088736643,2.71716448084235,10.8268419477912,14.9688722096386,9.95528758233604,4
7915025,9.5004,1971,0.271021801020705,0.895819552720687,1.75078057241977,0.982493722627094,2.5748155184171,8.51064407866761,16.6331157502168,9.33408336244644,5
7915025,9.5004,1971,0.188849214637726,0.613076827285916,1.25788977612476,0.722642620057741,1.79414307874425,5.82447508994712,11.9504560290957,6.86539394759656,6
7915025,9.5004,1971,0.0325949367088607,0.142683394034996,0.405540726879291,0.213080549612299,0.30966493670886,1.35554931669008,3.85279912164402,2.02435045353668,7
7915025,9.5004,1971,0.0142020982480647,0.0578171619765599,0.146821799983454,0.0734070072119106,0.134925614195914,0.54928616564211,1.39486582856281,0.697395931316035,8
7915025,9.5004,1971,0.0239574966532798,0.064008792812945,0.142928691983122,0.0767564055080601,0.227605801204819,0.608109135240103,1.35787974531646,0.729216554888774,9
7915025,9.5004,1971,0.0277567410594009,0.0644286063856764,0.140300803694072,0.0848790604701257,0.263700142760733,0.61209753210648,1.33291375541516,0.806385026090382,10
7915025,9.5004,1971,0.0504265310979993,0.0851449275362319,0.16353930306116,0.0984766491231344,0.479072216043433,0.808910869565218,1.55368879480224,0.935567557329427,11
7915025,9.5004,1971,0.0377276669557678,0.0784202188923375,0.178989480548467,0.0985839129023553,0.358427927146576,0.745023447564763,1.70047166100266,0.936586606137536,12
7915025,9.5004,1972,0.0312039012710237,0.0922093470404828,0.177620897547419,0.102067027453805,0.296449543635233,0.876025680623403,1.6874695750595,0.969677587622128,1
7915025,9.5004,1972,0.0351133641121693,0.103117471330828,0.337971887550201,0.153393002733917,0.333591004411253,0.979657224631397,3.21086812048193,1.45729488317331,2
7915025,9.5004,1972,0.125120829361443,0.291421472231764,0.951893610870194,0.477948186498834,1.18869792726545,2.76862055479065,9.04337006071119,4.54069895101352,3
7915025,9.5004,1972,0.129721421295984,0.504668979473836,1.02846586345382,0.591641772908012,1.23240539088037,4.79455717259324,9.77083708915663,5.62083349933528,4
7915025,9.5004,1972,0.0741326643702261,0.234915702108145,0.651738052965993,0.299295492523789,0.70428996458289606,2.23179313630822,6.19177219839812,2.84342689717301,5
7915025,9.5004,1972,0.0521118334927411,0.15073016575684,0.650759446693657,0.316485970142625,0.495083262914438,1.43199686675628,6.18247504736842,3.00674331074299,6
7915025,9.5004,1972,0.00763043478260882,0.0657473820472501,0.258669605952053,0.152205574665443,0,0.624626428401695,2.45746472438688,1.44601384155157,7
7915025,9.5004,1972,0.00431747730932518,0.0362534811957929,0.096578431372549,0.0456906993520652,0,0.344422572752511,0.917533729411765,0.434079920124361,8
7915025,9.5004,1972,0.0133873269865556,0.0458424478447194,0.11658692185008,0.0580687554222874,0.127184961303073,0.435521591503972,1.1076223923445,0.551676404013899,9
7915025,9.5004,1972,0.0323694779116466,0.0579311217114773,0.10643554785494,0.0735583292890276,0.307522987951807,0.550368828707719,1.01118027884107,0.698833551577478,10
7915025,9.5004,1972,0.0324060988315849,0.0689956325114607,0.133902821316614,0.0815750296383187,0.307870901339589,0.655486107111881,1.27213036363636,0.774995411575883,11
7915025,9.5004,1972,0.0301644942900161,0.0895833333333331,0.204567794160162,0.113822161620039,0.286574761552869,0.851077499999998,1.9434758716392,1.08135606425502,12
7915025,9.5004,1973,0.0221852902424174,0.0773965114000592,0.161524289391372,0.0926064836537557,0.210769131419062,0.735297816905123,1.53454535893379,0.879798637304141,1
7915025,9.5004,1973,0.0359434835797179,0.0992923354070487,0.246756224657853,0.121791878741337,0.341477471400752,0.943316903301126,2.34428283673947,1.1570715647942,2
